player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
104792,Gael Monfils,R,193,37,5,1,68,51,38,12,12,1,3,140,24,Hard,A,3,1,10
104792,Gael Monfils,R,193,36,1,5,46,26,15,8,8,2,6,210,87,Hard,M,3,0,3
104792,Gael Monfils,R,193,36,6,7,166,108,69,20,24,11,20,394,42,Clay,G,5,1,5
104810,Zhe Li,R,185,36,4,0,53,25,17,14,10,1,5,602,167,Hard,A,3,0,9
104871,Jeremy Chardy,R,188,36,0,5,57,35,20,9,10,3,8,635,106,Clay,M,3,0,4
104871,Jeremy Chardy,R,188,36,1,10,94,61,35,10,13,7,14,542,1,Grass,G,5,0,7
104871,Jeremy Chardy,R,188,35,7,14,157,96,65,26,18,21,26,48,70,Hard,G,5,1,1
104871,Jeremy Chardy,R,188,36,1,7,53,29,18,7,7,2,6,591,48,Clay,M,3,0,5
104871,Jeremy Chardy,R,188,35,6,5,82,62,36,10,13,5,11,67,30,Hard,G,5,0,1
104898,Robin Haase,R,190,35,13,2,100,57,42,23,16,1,5,257,50,Hard,A,3,1,1
104898,Robin Haase,R,190,35,6,1,98,51,35,24,13,10,13,257,26,Hard,A,3,0,1
104918,Andy Murray,R,190,36,3,2,107,63,45,20,17,1,6,40,13,Hard,M,3,0,10
104918,Andy Murray,R,190,35,9,0,66,44,33,16,13,1,3,70,170,Hard,A,3,1,2
104918,Andy Murray,R,190,36,3,0,101,59,46,19,16,6,9,40,12,Hard,A,3,0,9
104918,Andy Murray,R,190,36,5,0,73,46,35,16,11,2,2,40,268,Grass,G,5,1,7
104918,Andy Murray,R,190,35,7,3,86,49,34,19,13,5,8,70,52,Hard,A,3,1,2
104918,Andy Murray,R,190,35,2,3,118,77,55,18,16,7,11,70,16,Hard,A,3,1,2
104918,Andy Murray,R,190,35,1,1,48,24,15,9,8,2,6,54,19,Clay,M,3,0,4
104918,Andy Murray,R,190,35,3,2,69,36,27,14,10,3,5,49,33,Hard,A,3,0,1
104918,Andy Murray,R,190,35,6,0,51,35,29,11,10,0,0,55,109,Hard,M,3,1,3
